A1----X-A1
A1-A1-A1-A2-X-A1
A1-A1-A2---A1
A1-A1-A2-A3-A2-A1
A1-A1-A3-A1-X-A1
A1-A1-A3-A4-A1-A1
A1-A1-A4---A1
A1-A2---X-A1
A1-A2-A3-A2--A1
A1-A2-A4-X-X-A1
A1-A3--X-X-A1
A1-A4---X-A1
A1-----A2
A1-A1-A2-A1-X-A2
A1-A1-A3-X-X-A2
A1-A1-A3-A1-X-A2
A1-A1-A3-A2-X-A2
A1-A1-A4-X-X-A2
A1-A1-A4-A1-X-A2
A1-A1-A4-A4-A1-A2
A1-A2-A1--X-A2
A1-A2-A5-X-X-A2
A1-A3-A2-X-X-A2
A1-A4--X-X-A2
A1-A4-A1--X-A2
A1-----A3
A1-A1-A1-A2--A3
A1-A1-A1-A4-X-A3
A1-A1-A2---A3
A1-A1-A2-R14-X-A3
A1-A1-A4--X-A3
A1-A2----A3
A1-A2-A1--X-A3
A1-A2-A1-A2--A3
A1-A2-A1-A4-X-A3
A1-A2-A4-X-X-A3
A1-A3-A1-X-X-A3
A1-A3-A2-X-X-A3
A1-A3-A4-X-X-A3
A1-A4---X-A3
A1-----A4
A1-A1-A1-A2-X-A4
A1-A1-A2--X-A4
A1-A1-A2-A3-A4-A4
A1-A1-A3-A3-A4-A4
A1-A1-A4-A1-X-A4
A1-A1-A4-A2-X-A4
A1-A1-A5-X-X-A4
A1-A2---X-A4
A1-A2-A1---A4
A1-A2-A1-A3-X-A4
A1-A2-A3-A3-A4-A4
A1-----A4
A1-A3--X-X-A4
A1-A3-A1-A4-A4-A4
A1-A4-A4-A3-X-A4
A1-----A5
A1-A1-A1-A2--A5
A1-A1-A4--X-A5
A1-A1-A1-A4--A5
A1-A1-A2--X-A5
A1-A2---X-A5
A1-A2-A1--X-A5
A1-A2-A1-A4-X-A5
A1-A2-A4-X-X-A5
A1-A4--X-X-A5
A1---X-X-R14
A1-A1-A1-A2--R14
A1-A1-A1-A2-A3-R14
A1-A1-A1-A3--R14
A1-A1-A2--X-R14
A1-A1-A2-A3--R14
A1-A1-A3--X-R14
A1-A2---X-R14
A1-A2-A1-A2--R14
A1-A2-A2-A3-X-R14
A1-A2-A3--X-R14
A1-A3---X-R14
A1-A3-A2-X-X-R14
A1-A4--X-X-R14
